age,sex,education_level,education_years,potential_experience,field_of_study,annual_wage,weeks_worked,hours_worked,hourly_wage
57,Male,BA,16,35,Business,313508.25352714653,42,48,155.5100463924338
25,Female,BA,16,3,Health,99214.77881336104,46,47,45.89027697195238
42,Male,BA,16,20,Social Sciences,114615.71208683091,50,30,76.41047472455394
56,Female,BA,16,34,Social Sciences,114949.9559172765,50,49,46.91834935399041
35,Male,MA,18,11,Humanities,168446.165935084,46,44,83.22439028413241
45,Male,BA,16,23,Business,141668.45855397484,43,47,70.09819819593015
50,Male,MA,18,26,Business,206395.32039715783,51,41,98.70651381977898
49,Male,Prof,19,24,STEM (other),302894.7981970949,46,30,219.4889842007934
46,Female,BA,16,24,Engineering,162612.03582505943,50,36,90.3400199028108
51,Male,Prof,19,26,Social Sciences,196933.49292949055,41,48,100.06783177311512
37,Male,BA,16,15,STEM (other),153281.20844107005,40,30,127.73434036755837
57,Female,PhD,20,31,Health,287333.07257187366,51,36,156.49949486485494
58,Male,BA,16,36,Social Sciences,192841.38693601938,41,31,151.72414393077844
59,Male,MA,18,35,Business,196607.7449988654,43,36,127.00758720856939
25,Female,BA,16,3,Business,105208.01014490837,47,48,46.63475626990619
45,Female,BA,16,23,Humanities,117133.11434995188,42,42,66.40199226187748
30,Male,MA,18,6,Health,82052.64052684426,49,34,49.25128483003857
52,Male,MA,18,28,Social Sciences,202173.2449780811,45,48,93.5987245268894
41,Female,BA,16,19,Engineering,308987.94069766614,45,30,228.8799560723453
29,Male,BA,16,7,Engineering,100256.20693268403,48,30,69.62236592547502
55,Male,MA,18,31,STEM (other),174816.31745281347,48,47,77.48950241702725
29,Male,MA,18,5,Social Sciences,90561.24747891918,43,30,70.20251742551874
62,Male,PhD,20,36,Health,290621.6515232449,48,34,178.07699235492947
27,Female,MA,18,3,Engineering,153145.79210810357,45,38,89.55894275327694
47,Female,PhD,20,21,Education,175929.5117319394,41,41,104.65765123851243
61,Female,MA,18,37,STEM (other),166573.89129341103,49,38,89.45966234877069
61,Female,BA,16,39,Health,171976.48605920837,50,47,73.18148342945037
34,Male,BA,16,12,Engineering,94297.82105183239,45,40,52.38767836212911
34,Male,MA,18,10,Health,150697.2249517595,41,30,122.51806906647114
43,Female,MA,18,19,Humanities,188124.13487928422,47,48,83.3883576592572
41,Male,BA,16,19,Social Sciences,98522.50310731251,43,39,58.749256474247176
45,Male,BA,16,23,Humanities,82689.21959488554,44,31,60.62259501091315
38,Female,PhD,20,12,Health,287055.6468780758,47,36,169.65463763479656
33,Female,BA,16,11,Humanities,86152.31455357959,50,49,35.16421002186922
25,Male,BA,16,3,Health,138051.8134953611,47,31,94.75072992131854
37,Female,BA,16,15,Engineering,154631.5857343234,51,48,63.16649744049158
28,Female,BA,16,6,Business,109077.4604244305,51,35,61.1078209660675
25,Male,BA,16,3,Business,117727.01720422326,45,39,67.08092148388789
64,Female,BA,16,42,STEM (other),138192.1439209622,43,38,84.5729154963049
56,Male,BA,16,34,Humanities,145240.91755956423,40,37,98.13575510781367
58,Male,MA,18,34,Education,153576.35907114617,51,40,75.2825289564442
52,Female,BA,16,30,Business,119832.71014210666,46,38,68.55418200349351
55,Female,MA,18,31,Business,232035.2601297221,47,49,100.75347812840734
32,Male,Prof,19,7,Humanities,108186.04445712021,48,49,45.99746788142866
63,Male,BA,16,41,Social Sciences,149386.5545730436,41,38,95.88353952056714
50,Male,MA,18,26,Business,141683.60502532133,40,37,95.73216555764955
58,Female,BA,16,36,Health,273708.8174696571,43,44,144.66639401144667
27,Male,Prof,19,2,Engineering,181791.23657682122,44,31,133.27803268095397
36,Male,BA,16,14,Business,191309.2992852043,49,30,130.14238046612536
25,Male,MA,18,1,Social Sciences,92759.61021383997,51,38,47.86357596173373
29,Male,MA,18,5,Engineering,85497.7324182326,40,38,56.24850816988987
54,Male,BA,16,32,STEM (other),338227.9024142882,44,42,183.02375671768843
54,Female,BA,16,32,Business,175829.62187089742,45,37,105.6033764990375
41,Male,MA,18,17,Engineering,158254.545193203,42,34,110.82251063949789
47,Male,MA,18,23,Business,223605.91476373118,51,32,137.01342816405096
39,Female,BA,16,17,Humanities,168844.97013258017,46,33,111.22857057482224
61,Female,MA,18,37,Social Sciences,187528.260026043,45,46,90.59336233142173
45,Male,BA,16,23,Health,234725.62325557225,43,45,121.30523165662649
38,Male,MA,18,14,Engineering,257120.4629665031,42,45,136.04257299814978
26,Female,BA,16,4,Engineering,85603.85907618733,44,49,39.704943912888375
35,Male,Prof,19,10,Social Sciences,121523.50359757565,42,32,90.41927351010092
63,Female,BA,16,41,Humanities,179631.20176842716,49,35,104.74122552094877
62,Male,BA,16,40,Humanities,60247.49241729777,48,30,41.838536400901226
58,Male,BA,16,36,Engineering,188633.88368848542,48,45,87.33050170763214
62,Male,BA,16,40,Social Sciences,102821.5910390266,45,44,51.93009648435687
58,Female,BA,16,36,STEM (other),162662.67542914912,50,36,90.36815301619396
42,Female,BA,16,20,Social Sciences,133299.5290685196,45,31,95.55521797026495
54,Male,MA,18,30,Humanities,146170.1578263254,51,39,73.4892698975995
39,Male,BA,16,17,Engineering,143046.0126638447,43,44,75.60571493860714
51,Male,BA,16,29,STEM (other),134088.71406129887,43,35,89.09549107063049
58,Male,BA,16,36,Humanities,276502.0129552756,41,31,217.5468237256299
62,Female,BA,16,40,STEM (other),321334.72031505074,49,46,142.5619877174138
57,Male,BA,16,35,Education,103402.06935111825,43,30,80.1566429078436
48,Female,BA,16,26,Social Sciences,252466.79785074113,47,30,179.05446656080932
39,Female,BA,16,17,STEM (other),142451.99615616212,49,33,88.09647257647626
54,Female,BA,16,32,Business,186158.96570225808,41,49,92.66250159395624
41,Female,BA,16,19,Business,155502.6126442352,48,45,71.99195029825704
29,Male,BA,16,7,Education,79433.4948377547,40,37,53.6712802957802
53,Male,BA,16,31,Humanities,186942.37683481487,41,30,151.98567222342672
28,Male,BA,16,6,STEM (other),125012.11844845903,41,48,63.52241791080235
34,Male,PhD,20,8,Business,145602.35266595942,50,40,72.80117633297971
41,Male,BA,16,19,Humanities,83451.6888589856,45,46,40.31482553574183
34,Male,MA,18,10,Education,95027.48988021768,46,39,52.96961531784709
41,Female,BA,16,19,Engineering,107043.0067912612,42,41,62.16202484974518
44,Male,MA,18,20,Social Sciences,171727.99241018,50,38,90.38315390009474
48,Female,MA,18,24,Business,139441.48394521754,48,36,80.69530320903793
29,Female,BA,16,7,Business,109199.50903260683,44,41,60.531878621178954
58,Female,PhD,20,32,STEM (other),391065.58289173496,44,44,201.99668537796228
30,Male,BA,16,8,Health,166273.59476999685,50,37,89.87761879459289
26,Male,BA,16,4,Education,86744.0347511449,51,46,36.97529188028342
37,Male,MA,18,13,STEM (other),168126.94232888264,43,34,114.99790856968717
35,Male,MA,18,11,Social Sciences,248044.23218449706,48,43,120.17646908163617
47,Male,BA,16,25,Humanities,156565.0466422717,47,31,107.45713565015217
40,Female,BA,16,18,Social Sciences,127676.89094729708,51,45,55.63263222104448
55,Male,BA,16,33,Humanities,91016.36139288016,43,46,46.01433841904963
35,Male,BA,16,13,Business,157434.05725019716,43,32,114.41428579229445
40,Female,MA,18,16,STEM (other),236853.51095375014,41,30,192.5638300436993
32,Male,BA,16,10,Business,106991.48626332625,48,47,47.42530419473682
28,Male,BA,16,6,Business,124961.4822178191,42,47,63.30368906677766
64,Female,BA,16,42,Humanities,119674.16195059681,43,33,84.33697107159747
28,Male,BA,16,6,Social Sciences,98045.82792554439,46,44,48.44161458771956
49,Female,BA,16,27,Health,78925.00546990578,49,48,33.55654994468783
27,Male,MA,18,3,Social Sciences,102545.87915049205,47,48,45.45473366599825
56,Female,PhD,20,30,Education,268554.9401271025,47,39,146.5111511877264
27,Male,MA,18,3,Business,100225.63100047816,43,34,68.55378317406166
51,Male,BA,16,29,Engineering,199019.46449669922,46,48,90.13562703654856
53,Female,Prof,19,28,Business,178584.07683528584,49,40,91.11432491596217
56,Male,MA,18,32,Social Sciences,211870.9205494999,40,36,147.1325837149305
43,Male,MA,18,19,Business,174284.28045785887,45,34,113.91129441690123
45,Male,BA,16,23,Social Sciences,114786.3137775976,45,49,52.05728515990821
29,Male,BA,16,7,Social Sciences,159590.3407100608,45,41,86.49882965314949
42,Male,BA,16,20,Engineering,235314.83127209058,51,48,96.12533957193243
52,Female,BA,16,30,Health,141284.09081933004,41,44,78.31712351404104
46,Female,BA,16,24,Humanities,153850.47879350593,47,41,79.83937664426877
45,Female,BA,16,23,Business,197565.13389870818,44,33,136.06414180351803
30,Male,BA,16,8,Health,140686.65205848974,44,41,77.98594903463955
25,Male,MA,18,1,Education,55332.915708285975,41,47,28.71453850974882
29,Female,BA,16,7,Social Sciences,144723.73993738517,43,46,73.16670370949706
36,Female,BA,16,14,Education,98862.99790192946,51,48,40.38521156124569
50,Male,PhD,20,24,Social Sciences,190432.2219530131,48,45,88.16306571898754
58,Male,Prof,19,33,Social Sciences,454959.8833925752,48,40,236.95827260029958
38,Male,MA,18,14,Engineering,203406.5600852345,45,31,145.8111541829638
50,Male,PhD,20,24,Education,170843.50779301173,50,45,75.9304479080052
51,Female,BA,16,29,Education,74892.69900408805,48,30,52.00881875283892
33,Male,PhD,20,7,Engineering,273082.5037868811,43,46,138.05991091348892
50,Female,BA,16,28,Social Sciences,106514.57388473128,50,47,45.32535058924735
46,Male,BA,16,24,STEM (other),132371.59086429712,40,42,78.79261360970067
54,Male,BA,16,32,Social Sciences,146707.23925772848,41,34,105.24192199263162
41,Female,BA,16,19,Social Sciences,219327.98514618876,40,35,156.66284653299198
50,Male,BA,16,28,STEM (other),233648.23545175832,47,30,165.70796840550236
60,Male,MA,18,36,Education,163578.57698433957,48,39,87.38171847454036
25,Female,MA,18,1,Health,117229.35793606927,49,34,70.36576106606799
32,Female,BA,16,10,Humanities,84110.29835402277,51,30,54.97405121177959
59,Female,BA,16,37,Humanities,144422.18174984105,45,40,80.23454541657836
39,Male,MA,18,15,Social Sciences,159054.31448955857,41,36,107.76037567043264
46,Male,MA,18,22,Social Sciences,235680.17369809755,45,47,111.43270624023525
38,Female,BA,16,16,Social Sciences,181054.51210066045,48,49,76.97895922647128
50,Male,MA,18,26,STEM (other),248349.72535639294,51,39,124.86160148637151
52,Female,BA,16,30,Education,130783.12981483217,42,44,70.77009189114294
47,Male,BA,16,25,Engineering,237410.6659472192,48,33,149.88047092627477
38,Male,Prof,19,13,Humanities,134727.4947713779,41,45,73.0230323964108
48,Female,BA,16,26,Social Sciences,113530.3736536709,50,44,51.604715297123136
26,Male,BA,16,4,Engineering,104758.57148195882,44,44,54.110832377044844
50,Male,Prof,19,25,Social Sciences,202877.594852441,50,41,98.96468041582487
38,Male,MA,18,14,Social Sciences,199878.45486187184,41,37,131.75903418712713
31,Male,BA,16,9,Humanities,92627.51811473562,46,37,54.42274859855207
27,Male,BA,16,5,Business,77052.35359598896,50,47,32.78823557276126
47,Male,BA,16,25,Humanities,136219.4551474803,49,35,79.42825373030921
42,Male,MA,18,18,Health,179806.54681650348,48,34,110.17558015717125
62,Female,BA,16,40,Engineering,203974.70880015858,46,31,143.03976774204668
59,Male,BA,16,37,STEM (other),246363.02901121092,51,41,117.82067384562933
39,Female,PhD,20,13,Social Sciences,236635.6681272951,44,33,162.97222322816467
49,Male,BA,16,27,Business,146434.9729550434,43,42,81.08248779349026
61,Female,BA,16,39,Social Sciences,132264.232567156,51,46,56.378615757526
52,Male,BA,16,30,Humanities,101512.82119851283,43,45,52.46140630414099
34,Female,MA,18,10,Business,187146.0675990203,49,38,100.5080921584427
63,Female,BA,16,41,Business,267278.38442308526,47,30,189.55913788871294
41,Female,BA,16,19,Engineering,159352.72519223887,49,44,73.91128255669706
63,Female,MA,18,39,Business,191946.28199398436,49,41,95.54319661223711
46,Male,BA,16,24,Humanities,205753.63121716745,49,34,123.50157936204529
50,Female,BA,16,28,Social Sciences,185584.8290506478,49,47,80.58394661339462
49,Female,BA,16,27,Business,199480.28960133588,49,49,83.0821697631553
41,Female,BA,16,19,Business,110871.266745934,40,31,89.41231189188225
37,Male,BA,16,15,Business,179623.5266144668,44,33,123.70766295762176
44,Female,BA,16,22,STEM (other),132039.8563247058,41,44,73.192825013695
49,Male,BA,16,27,Business,124541.45909341596,50,35,71.16654805338055
28,Male,BA,16,6,STEM (other),108485.14465535292,48,41,55.12456537365494
34,Male,MA,18,10,Social Sciences,115181.2418664816,46,47,53.27532001224866
27,Male,PhD,20,1,Business,123367.14310698246,49,49,51.38156730819761
42,Female,MA,18,18,Humanities,92346.72385091068,47,33,59.54011853701527
60,Female,Prof,19,35,Social Sciences,274483.0781479597,45,30,203.32079862811833
46,Female,BA,16,24,Education,195380.82629268238,48,44,92.50986093403522
58,Female,PhD,20,32,STEM (other),144552.38658548365,45,47,68.34628207351473
32,Male,BA,16,10,Engineering,191671.32625278414,46,43,96.90158051202434
64,Female,PhD,20,38,Engineering,211174.7800524434,46,32,143.46112775301862
43,Male,PhD,20,17,Education,222724.9010000938,48,44,105.4568660038323
61,Female,MA,18,37,Business,204447.40890038916,50,34,120.26318170611127
30,Female,PhD,20,4,Business,148602.86176018932,47,32,98.80509425544503
50,Female,BA,16,28,Engineering,184254.0342204024,40,36,127.954190430835
58,Male,BA,16,36,Engineering,283803.89307078754,43,35,188.57401532942694
30,Female,BA,16,8,Humanities,65494.64065682245,46,30,47.45988453392931
61,Male,BA,16,39,Engineering,233223.4070300256,50,48,97.17641959584401
57,Male,BA,16,35,Social Sciences,225347.52597436853,47,36,133.18411700612796
46,Female,MA,18,22,Health,229693.71445689007,46,33,151.31338238266804
45,Male,PhD,20,19,Social Sciences,396650.0458396045,51,41,189.69394827336419
30,Female,BA,16,8,Engineering,115026.28784538935,42,49,55.89226814644769
30,Male,MA,18,6,Humanities,139468.13717096997,43,47,69.0094691593122
28,Male,Prof,19,3,Engineering,140473.31338540275,51,38,72.48364983766912
54,Female,Prof,19,29,Humanities,254084.41235726431,46,48,115.07446211832622
35,Male,PhD,20,9,Humanities,134469.58266838672,47,33,86.6986348603396
54,Male,BA,16,32,Social Sciences,144240.49150787733,46,30,104.52209529556329
55,Male,PhD,20,29,Social Sciences,326838.5709484485,45,38,191.1336672213149
48,Male,MA,18,24,Social Sciences,155893.97664679599,48,44,73.8134359123087
33,Female,BA,16,11,Social Sciences,78714.46937461455,48,37,44.32121023345414
27,Male,BA,16,5,Humanities,73861.4215706063,50,44,33.57337344118468
55,Female,MA,18,31,Humanities,196636.0592119947,46,44,97.15220316798157
64,Female,BA,16,42,Business,260201.50406848194,47,47,117.79153647283022
61,Male,MA,18,37,Health,205240.71988734588,45,36,126.69180239959623
60,Female,MA,18,36,STEM (other),327046.9835600866,40,47,173.96116146813117
48,Female,BA,16,26,STEM (other),121412.30644994816,40,45,67.45128136108231
55,Male,BA,16,33,Social Sciences,142005.484709835,45,31,101.79604638697849
30,Male,MA,18,6,Social Sciences,111505.3069656093,41,33,82.41338282750132
26,Male,BA,16,4,Business,103366.08319839866,47,49,44.88323195761991
44,Female,BA,16,22,STEM (other),178944.02322007672,40,45,99.41334623337596
52,Female,BA,16,30,Engineering,242140.4690149623,41,32,184.55828431018466
35,Male,BA,16,13,Health,116443.091603303,47,31,79.91976088078448
28,Female,Prof,19,3,Business,136804.55851396854,51,32,83.82632261885327
39,Female,BA,16,17,Business,150702.5239881676,45,34,98.49838169161282
30,Female,MA,18,6,Social Sciences,92100.25848723334,51,31,58.25443294575164
54,Female,BA,16,32,STEM (other),181952.3271981884,49,48,77.3606833325631
62,Male,BA,16,40,Engineering,184776.47698228146,41,49,91.97435389859704
26,Female,MA,18,2,Health,105669.9493908459,41,31,83.13922060648773
39,Female,MA,18,15,Engineering,191861.26984927716,50,31,123.78146441888849
35,Female,BA,16,13,Business,143100.44312979458,46,49,63.487330581097865
32,Male,BA,16,10,Social Sciences,102776.4424060361,44,47,49.69847311703874
50,Male,BA,16,28,Social Sciences,233611.42104279416,44,49,108.35409139276167
29,Male,BA,16,7,Business,83262.6885496151,47,43,41.19875732291692
30,Male,MA,18,6,Business,108240.29274785443,51,44,48.235424575692704
50,Female,BA,16,28,Engineering,448466.4206206698,51,41,214.47461531356757
28,Male,BA,16,6,Business,83868.26672063334,46,40,45.58057973947464
43,Female,BA,16,21,STEM (other),114608.08122648188,51,40,56.18043197376563
44,Female,Prof,19,19,STEM (other),264010.20151928376,48,36,152.7836814347707
57,Female,PhD,20,31,Business,131961.30885509241,43,41,74.85043043397188
44,Male,BA,16,22,Health,147122.05494679874,49,45,66.72202038403572
36,Female,MA,18,12,STEM (other),320407.0435416724,43,34,219.15666452918768
25,Female,BA,16,3,Engineering,71762.63555074163,41,31,56.46155432788484
50,Female,BA,16,28,Humanities,75736.13378546418,42,45,40.072028457917554
38,Male,MA,18,14,STEM (other),112718.1393282965,40,44,64.04439734562301
62,Male,Prof,19,37,Engineering,327128.34672558267,40,40,204.45521670348916
61,Male,PhD,20,35,Business,345391.2170390458,46,35,214.5287062354322
35,Male,BA,16,13,STEM (other),126099.09699526144,44,42,68.23544209700295
60,Male,BA,16,38,Social Sciences,196528.69323830417,42,48,97.48447085233342
37,Female,MA,18,13,Engineering,275316.4929249507,46,39,153.46515770621556
27,Female,BA,16,5,Business,189321.88190860822,41,48,96.20014324624401
57,Male,BA,16,35,Social Sciences,150406.8772195146,42,34,105.32694483159285
30,Male,BA,16,8,Education,50069.05766017463,40,36,34.77017893067683
34,Female,MA,18,10,Education,97123.27464866883,47,40,51.66131630248342
29,Male,BA,16,7,STEM (other),109377.30979027215,41,43,62.04044798086906
47,Female,BA,16,25,Business,159104.79641236368,46,45,76.86222048906458
34,Male,Prof,19,9,Social Sciences,136631.41527071944,50,47,58.14102777477423
26,Male,BA,16,4,Social Sciences,135410.79721549625,48,33,85.48661440372238
37,Male,BA,16,15,Social Sciences,194333.0129443451,45,30,143.95037995877414
64,Female,BA,16,42,Business,162770.7265152651,41,44,90.22767545192079
26,Male,BA,16,4,STEM (other),156364.5568515965,41,43,88.692318123424
44,Female,BA,16,22,Humanities,143903.52805593424,48,48,62.458128496499235
25,Male,BA,16,3,Social Sciences,95220.61979949618,49,34,57.155233973287025
61,Male,Prof,19,36,Health,283328.77378149075,47,33,182.67490250257302
33,Female,BA,16,11,Business,135818.62222223217,48,42,67.37034832451992
41,Male,PhD,20,15,Social Sciences,338521.6585304292,43,47,167.50205765978683
33,Female,BA,16,11,Education,70677.08263916845,43,41,40.08909962516645
35,Male,BA,16,13,Social Sciences,108450.45701114714,41,44,60.116661314383116
39,Male,BA,16,17,STEM (other),154607.40795681125,49,38,83.03297956864192
48,Female,BA,16,26,Health,188383.64118710958,40,33,142.71487968720422
62,Female,MA,18,38,Social Sciences,274852.0264331266,49,34,164.97720674257297
59,Male,BA,16,37,Humanities,137486.42030992228,43,38,84.14101610154363
54,Female,BA,16,32,Business,116883.2795496191,49,42,56.79459647697721
55,Male,Prof,19,30,Social Sciences,263749.2628630585,49,39,138.0163594259856
29,Female,Prof,19,4,Business,170567.71117194896,50,45,75.80787163197732
38,Female,Prof,19,13,Social Sciences,89863.07502245648,47,42,45.52334094349366
35,Male,BA,16,13,Humanities,108820.90754722382,41,33,80.42934778065323
33,Male,MA,18,9,Social Sciences,82814.4175980785,51,42,38.6621930896725
58,Male,BA,16,36,Humanities,113891.85886863897,50,37,61.563166956021064
36,Male,BA,16,14,Health,103938.77698146211,47,42,52.65388904835973
59,Male,BA,16,37,Business,226699.2230952113,40,44,128.80637675864278
59,Female,BA,16,37,Humanities,143436.69288156007,40,49,73.18198616406126
25,Female,BA,16,3,Business,70187.30265354969,43,49,33.311486783839435
64,Male,BA,16,42,Business,223154.53419293105,46,42,115.50441728412581
46,Male,Prof,19,21,Social Sciences,122425.53576369585,48,34,75.01564691402932
53,Female,BA,16,31,Business,197290.81493806918,44,35,128.110918790954
32,Female,BA,16,10,Engineering,111948.78839248791,41,34,80.30759569045044
35,Male,BA,16,13,Health,119240.39676565923,51,42,55.66778560488293
61,Male,Prof,19,36,Social Sciences,238871.54657778188,46,34,152.73116788860733
38,Male,BA,16,16,Social Sciences,158393.04027159637,50,42,75.42525727218874
54,Male,BA,16,32,STEM (other),281163.2448235697,41,49,139.95183913567433
59,Male,MA,18,35,Health,194915.98335245266,48,37,109.749990626381
45,Male,MA,18,21,Humanities,163953.0292692125,48,38,89.88652920461212
61,Male,BA,16,39,Engineering,170429.80725390618,42,48,84.53859486800901
29,Female,MA,18,5,Health,130561.14822657626,47,49,56.69177083220854
43,Male,MA,18,19,Humanities,165255.13219748856,50,44,75.11596918067661
38,Male,MA,18,14,Health,155267.86191397707,43,39,92.58667973403523
50,Male,BA,16,28,Education,83991.83366051572,42,40,49.99513908364031
28,Female,Prof,19,3,Social Sciences,131142.6929982589,40,34,96.4284507340139
49,Female,BA,16,27,Engineering,215770.02992151972,44,38,129.0490609578467
49,Male,BA,16,27,Social Sciences,129126.51731465306,50,40,64.56325865732653
42,Male,BA,16,20,Social Sciences,99179.22928861584,43,48,48.05195217471697
64,Female,BA,16,42,Humanities,207806.73023230265,40,31,167.586072767986
32,Male,BA,16,10,Business,149856.53068375238,49,35,87.379901273325
63,Male,MA,18,39,STEM (other),202536.55965180785,47,30,143.64295010766514
64,Male,BA,16,42,STEM (other),128090.21957598199,47,32,85.16636939892419
38,Female,BA,16,16,Business,116991.38182758432,47,32,77.78682302365979
56,Female,BA,16,34,Business,264918.39629493153,42,43,146.6879270736055
62,Female,BA,16,40,Humanities,141676.07690730362,45,49,64.25218907360708
57,Male,PhD,20,31,STEM (other),219306.1285324244,51,34,126.4741225677188
47,Female,BA,16,25,Social Sciences,181299.70495705356,51,46,77.28035164409785
39,Female,BA,16,17,Business,119644.55011802047,46,44,59.11292001878482
57,Female,BA,16,35,Social Sciences,254041.49761269073,48,35,151.21517715041114
49,Male,BA,16,27,Education,215010.0737082231,44,43,113.64168800646041
41,Male,BA,16,19,Business,137781.96882027155,48,43,66.75482985478273
57,Female,MA,18,33,Education,142628.54266734532,45,46,68.90267761707503
26,Male,PhD,20,0,Engineering,63867.125521033915,49,37,35.22731688970431
38,Male,BA,16,16,Engineering,106077.55627537657,49,37,58.509407763583326
64,Male,MA,18,40,Social Sciences,124015.15656898306,49,48,52.72753255483973
64,Female,MA,18,40,Social Sciences,193021.54664362513,43,38,118.12824151996642
63,Female,MA,18,39,Business,187124.58214017373,40,40,116.95286383760859
30,Male,BA,16,8,Social Sciences,73717.78415692798,40,42,43.87963342674285
30,Female,BA,16,8,Business,112111.67898460009,49,42,54.47603449203114
27,Female,BA,16,5,Business,128875.37669894619,44,48,61.02053820972831
31,Female,MA,18,7,Business,162584.28203544632,42,48,80.64696529536027
32,Male,MA,18,8,STEM (other),85109.92333901736,44,34,56.89165998597417
39,Male,BA,16,17,Social Sciences,133002.2009887895,44,45,67.17282878221691
53,Male,BA,16,31,Social Sciences,106766.31647037259,40,38,70.2409976778767
57,Male,Prof,19,32,Health,283826.55511247047,47,49,123.24209948435539
54,Female,MA,18,30,STEM (other),277963.17639987404,44,32,197.41702869309236
63,Male,PhD,20,37,Business,187061.33413802503,44,48,88.5707074517164
51,Female,MA,18,27,Education,133624.170318608,48,34,81.87755534228431
60,Male,BA,16,38,Education,126149.1082212134,47,37,72.54117781553387
53,Male,BA,16,31,Health,86470.7929012061,40,43,50.27371680302681
62,Male,MA,18,38,Engineering,253822.49218655095,42,32,188.85602097213612
57,Male,BA,16,35,Education,135015.73903884843,51,42,63.03255790795912
61,Male,BA,16,39,Engineering,260004.05987259714,46,40,141.3065542785854
51,Female,MA,18,27,Health,140516.083513666,40,37,94.94329967139595
57,Male,BA,16,35,Education,121693.77356734648,40,48,63.38217373299296
28,Female,MA,18,4,Business,79892.91245199839,44,39,46.55764128904335
46,Female,BA,16,24,Humanities,98038.23463997469,48,47,43.45666429076892
26,Male,PhD,20,0,Engineering,98263.25201340762,45,47,46.460166436599344
34,Female,BA,16,12,Humanities,143256.51359335534,49,36,81.21117550643727
29,Female,BA,16,7,Social Sciences,86779.130991361,41,45,47.03475934491111
34,Male,MA,18,10,Business,157511.33539553953,50,35,90.00647736887973
57,Male,BA,16,35,Engineering,176446.14456339894,48,45,81.68802989046247
62,Female,MA,18,38,STEM (other),149157.8500088458,45,45,73.65819753523249
37,Male,MA,18,13,Engineering,172492.6443419623,44,30,130.6762457136078
55,Male,BA,16,33,Business,214557.06077204132,44,48,101.58951741100441
60,Female,BA,16,38,Business,123164.01264262013,51,32,75.46814500160548
48,Male,BA,16,26,Health,210477.45773377613,42,35,143.1819440365824
39,Male,BA,16,17,Social Sciences,107117.72299488925,45,33,72.13314679790521
53,Female,Prof,19,28,Engineering,214208.43647219727,43,33,150.95731957166825
32,Female,MA,18,8,Business,167846.46419219987,51,33,99.73051942495536
29,Male,MA,18,5,Business,106507.33689953176,49,39,55.73382359996429
53,Male,MA,18,29,Business,210380.37016551223,41,38,135.032330016375
28,Female,BA,16,6,Social Sciences,94277.02026296593,42,37,60.66732320654178
36,Female,Prof,19,11,Education,143804.55533145936,48,48,62.41517158483479
26,Male,MA,18,2,Business,57146.7767806047,50,46,24.846424687219432
51,Male,MA,18,27,Social Sciences,107333.43203487294,50,46,46.66670958037954
55,Male,Prof,19,30,Social Sciences,246419.36562589012,48,30,171.1245594624237
60,Female,BA,16,38,STEM (other),253914.89268784688,45,49,115.15414634369473
60,Female,MA,18,36,STEM (other),167586.34482849305,49,43,79.53789503013434
50,Female,BA,16,28,Humanities,127566.29820401828,49,49,53.130486548945555
51,Female,BA,16,29,Business,193651.56681450532,48,40,100.86019104922153
29,Female,BA,16,7,Engineering,160904.33591392764,43,32,116.93629063512184
44,Male,PhD,20,18,Business,116692.41477267408,50,37,63.076980958202206
35,Female,Prof,19,10,Business,126018.99466817365,44,39,73.43764258052077
34,Female,MA,18,10,Social Sciences,124271.77573716271,49,46,55.13388453290271
64,Male,MA,18,40,Humanities,196996.66116407988,45,37,118.31631301145939
62,Male,BA,16,40,Humanities,287658.4578469549,48,30,199.76281794927422
30,Female,Prof,19,5,Humanities,102395.52423165856,44,49,47.49328582173403
32,Male,BA,16,10,Social Sciences,76719.1600595749,47,36,45.342293179417794
47,Male,BA,16,25,Education,158844.40595155596,50,38,83.60231892187156
50,Female,BA,16,28,Business,261947.33127376516,40,41,159.72398248400316
36,Female,MA,18,12,Engineering,182773.73321505226,44,38,109.31443374105996
50,Male,MA,18,26,Education,127058.82363735842,49,49,52.919126879366274
37,Female,BA,16,15,Engineering,215862.77469623229,40,32,168.64279273143148
64,Male,BA,16,42,Social Sciences,189219.63050878167,49,33,117.01894280073078
42,Male,MA,18,18,Business,134292.52832393508,45,39,76.51995915893737
49,Male,BA,16,27,Education,160657.12028085988,46,33,105.83473009279307
57,Female,MA,18,33,Humanities,220969.43555904337,51,38,114.01931659393362
64,Female,PhD,20,38,Business,347377.3780411187,44,30,263.1646803341808
36,Female,BA,16,14,Humanities,109367.0906958443,40,34,80.41697845282668
60,Female,BA,16,38,Business,158923.171473757,45,38,92.93752717763566
28,Male,MA,18,4,Social Sciences,164157.5877948418,49,34,98.53396626341043
29,Male,MA,18,5,Education,74009.7299316542,44,35,48.05826618938585
61,Female,BA,16,39,Education,164221.89117062997,45,48,76.0286533197361
32,Male,PhD,20,6,STEM (other),109907.23950518102,50,37,59.4093186514492
52,Female,BA,16,30,Business,245146.89509648495,49,39,128.28199638748558
55,Female,BA,16,33,Education,135833.6623657635,46,40,73.82264259008886
33,Female,MA,18,9,Health,205248.14113707308,46,42,106.23609789703575
53,Male,Prof,19,28,STEM (other),272944.51913625817,41,49,135.86088558300557
38,Male,BA,16,16,Business,103718.30847841846,51,33,61.62704009412862
64,Male,MA,18,40,Humanities,244602.15674260404,42,40,145.59652187059766
